Latitud,Longitud,Fecha,Hora,FP_TI4,FP_TI5,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-3.78273,-40.98357,2023-08-13,03:30,333.25,288.69,3.31,55,0.39,0.6
-3.7821,-40.98729,2023-08-13,03:30,301.45,287.18,2.21,55,0.39,0.6
-3.67541,-41.93886,2023-08-13,03:30,305.23,289.11,2.06,55,0.46,0.63
-3.6761,-41.9347,2023-08-13,03:30,303.81,288.95,1.82,55,0.46,0.63
-3.67364,-41.9361,2023-08-13,03:30,321.23,289.62,2.46,55,0.46,0.63
-4.15053,-43.05952,2023-08-13,03:30,316.6,289.44,2.71,55,0.53,0.67
-4.22886,-43.71764,2023-08-13,03:30,307.71,289.08,1.86,55,0.59,0.7
-4.22982,-43.71203,2023-08-13,03:30,305.08,288.89,1.86,55,0.59,0.7
-4.22749,-43.71757,2023-08-13,03:30,301.37,289.1,1.39,55,0.59,0.7
-4.22848,-43.71196,2023-08-13,03:30,304.79,289.22,2.98,55,0.59,0.7
-4.23392,-43.71906,2023-08-13,03:30,302.72,289.05,1.39,55,0.59,0.7
-4.50974,-43.20206,2023-08-13,03:30,336.42,289.01,5.19,55,0.54,0.68
-4.5089,-43.20696,2023-08-13,03:30,305.78,288.73,5.24,55,0.54,0.68
-4.53913,-43.10586,2023-08-13,03:30,299.68,287.51,0.46,55,0.53,0.67
-4.53998,-43.10094,2023-08-13,03:30,302.15,286.57,0.46,55,0.53,0.67
-4.54537,-43.10694,2023-08-13,03:30,332.42,288.15,18.93,55,0.53,0.67
-4.54621,-43.10204,2023-08-13,03:30,367.0,290.59,18.93,90,0.53,0.67
-4.54704,-43.09718,2023-08-13,03:30,301.34,287.63,4.02,55,0.53,0.67
-4.55076,-43.113,2023-08-13,03:30,320.85,288.68,23.97,55,0.53,0.67
-4.55159,-43.1081,2023-08-13,03:30,367.0,291.53,18.93,90,0.53,0.67
-4.55243,-43.1032,2023-08-13,03:30,367.0,289.89,18.93,90,0.53,0.67
-4.55326,-43.09833,2023-08-13,03:30,301.94,288.04,4.02,55,0.53,0.67
-4.55782,-43.10925,2023-08-13,03:30,322.62,289.2,7.74,55,0.53,0.67
-4.56488,-43.10546,2023-08-13,03:30,344.65,288.54,7.74,55,0.53,0.67
-4.56571,-43.10056,2023-08-13,03:30,326.04,287.87,6.57,55,0.53,0.67
-4.50586,-43.20234,2023-08-13,03:30,341.21,289.07,3.92,55,0.54,0.68
-4.51214,-43.20334,2023-08-13,03:30,303.48,288.61,3.92,55,0.54,0.68
-4.54306,-43.10244,2023-08-13,03:30,322.07,287.95,3.05,55,0.53,0.67
-4.54219,-43.10733,2023-08-13,03:30,302.57,286.9,1.97,55,0.53,0.67
-4.54842,-43.10844,2023-08-13,03:30,331.32,288.36,15.97,55,0.53,0.67
-4.54929,-43.10354,2023-08-13,03:30,367.0,291.88,17.17,90,0.53,0.67
-4.55015,-43.09868,2023-08-13,03:30,320.22,288.41,17.17,55,0.53,0.67
-4.54755,-43.11333,2023-08-13,03:30,305.35,288.66,15.97,55,0.53,0.67
-4.55464,-43.10957,2023-08-13,03:30,367.0,290.85,15.97,90,0.53,0.67
-4.55551,-43.10468,2023-08-13,03:30,334.44,289.35,17.17,55,0.53,0.67
-4.55377,-43.11447,2023-08-13,03:30,302.7,288.67,15.97,55,0.53,0.67
-4.5626,-43.10091,2023-08-13,03:30,326.86,288.0,4.39,55,0.53,0.67
-4.56173,-43.10582,2023-08-13,03:30,311.42,289.06,4.39,55,0.53,0.67
-4.56797,-43.10685,2023-08-13,03:30,327.62,287.53,4.39,55,0.53,0.67
-4.56883,-43.10198,2023-08-13,03:30,339.2,287.3,4.39,55,0.53,0.67
-5.03701,-40.86574,2023-08-13,03:30,318.67,290.13,2.13,55,0.37,0.58
-5.03424,-40.86541,2023-08-13,03:30,314.82,289.94,2.23,55,0.37,0.58
-4.851,-42.88952,2023-08-13,03:30,324.21,290.57,3.47,55,0.51,0.66
-4.85018,-42.89424,2023-08-13,03:30,308.82,290.14,4.69,55,0.51,0.66
-4.83259,-43.21552,2023-08-13,03:30,304.6,289.81,0.71,55,0.53,0.67
-4.83881,-43.21675,2023-08-13,03:30,303.5,289.17,0.71,55,0.53,0.67
-5.27022,-40.72,2023-08-13,03:30,327.66,290.36,2.3,55,0.36,0.57
-4.84762,-43.20298,2023-08-13,03:30,303.96,289.47,2.49,55,0.53,0.67
-4.85299,-43.20913,2023-08-13,03:30,338.61,289.8,8.52,55,0.53,0.67
-4.85385,-43.20412,2023-08-13,03:30,314.82,289.17,2.49,55,0.53,0.67
-4.8584,-43.21515,2023-08-13,03:30,302.45,288.68,0.57,55,0.53,0.67
-3.59484,-38.86041,2023-08-13,03:30,326.71,292.85,4.64,55,0.57,0.52
-3.62739,-38.78197,2023-08-13,03:30,318.02,293.02,4.05,55,0.56,0.51
-4.82798,-45.21487,2023-08-13,03:30,301.53,289.49,2.93,55,0.72,0.76
-3.19921,-43.4785,2023-08-13,03:30,301.73,289.44,1.04,55,0.59,0.7
-3.20012,-43.47305,2023-08-13,03:30,300.49,289.57,0.71,55,0.59,0.7
-6.33327,-45.60763,2023-08-13,03:30,308.51,290.0,3.01,55,0.72,0.76
-6.33215,-45.61354,2023-08-13,03:30,303.2,288.94,2.74,55,0.72,0.76
-6.31487,-45.62792,2023-08-13,03:30,335.78,290.98,7.9,55,0.72,0.76
-6.33528,-45.60785,2023-08-13,03:30,301.9,289.82,1.48,55,0.72,0.76
-6.33418,-45.61385,2023-08-13,03:30,302.72,288.41,1.48,55,0.72,0.76
-6.31708,-45.62789,2023-08-13,03:30,314.86,290.61,3.33,55,0.72,0.76
-6.30992,-45.62724,2023-08-13,03:30,322.27,289.85,3.74,55,0.72,0.76
-8.0735,-34.97734,2023-08-13,03:30,315.37,291.51,1.62,55,0.44,0.38
-5.86514,-46.03296,2023-08-13,03:30,316.11,290.1,4.97,55,0.78,0.78
-5.86376,-46.04036,2023-08-13,03:30,301.23,289.97,3.85,55,0.78,0.78
-6.18095,-43.96154,2023-08-13,03:30,301.21,288.5,1.38,55,0.57,0.69
-6.18001,-43.96656,2023-08-13,03:30,315.4,288.73,2.93,55,0.57,0.69
-6.1791,-43.96521,2023-08-13,03:30,316.82,289.11,2.86,55,0.57,0.69
-6.17818,-43.97032,2023-08-13,03:30,312.66,288.18,3.15,55,0.57,0.69
-6.17175,-43.9693,2023-08-13,03:30,304.82,288.73,0.88,55,0.57,0.69
-6.08363,-43.65005,2023-08-13,03:30,314.81,288.58,2.03,55,0.54,0.68
-5.66043,-45.29907,2023-08-13,03:30,299.71,289.05,1.4,55,0.71,0.75
-5.65346,-45.29774,2023-08-13,03:30,306.87,289.57,1.4,55,0.71,0.75
-5.65789,-45.28933,2023-08-13,03:30,303.48,289.1,1.68,55,0.71,0.75
-5.65672,-45.29588,2023-08-13,03:30,305.8,289.71,2.88,55,0.71,0.75
-7.05807,-36.6218,2023-08-13,03:30,300.77,289.0,0.76,55,0.54,0.42
-7.08073,-34.97903,2023-08-13,03:30,315.76,289.05,1.87,55,0.45,0.39
-7.08138,-34.97504,2023-08-13,03:30,322.09,290.66,1.87,55,0.45,0.39
-7.07717,-34.97843,2023-08-13,03:30,319.05,290.37,1.89,55,0.45,0.39
-5.32427,-43.97553,2023-08-13,03:30,305.59,289.31,2.51,55,0.59,0.7
-5.32526,-43.97014,2023-08-13,03:30,322.14,290.49,2.51,55,0.59,0.7
-5.32606,-43.96891,2023-08-13,03:30,304.59,290.19,2.48,55,0.59,0.7
-5.3251,-43.97433,2023-08-13,03:30,322.64,290.03,4.34,55,0.59,0.7
-4.82674,-45.22171,2023-08-13,03:30,314.75,289.58,2.93,55,0.72,0.76
-4.81961,-45.22099,2023-08-13,03:30,332.93,289.85,2.93,55,0.72,0.76
-4.82206,-45.22612,2023-08-13,03:30,301.63,289.09,3.36,55,0.72,0.76
-4.82325,-45.21933,2023-08-13,03:30,331.4,289.76,3.36,55,0.72,0.76
-4.81613,-45.21857,2023-08-13,03:30,305.96,289.3,3.36,55,0.72,0.76
-5.02066,-43.81985,2023-08-13,03:30,330.21,289.71,5.13,55,0.58,0.7
-5.04128,-43.66541,2023-08-13,03:30,311.57,290.01,1.77,55,0.57,0.69
-5.04038,-43.67053,2023-08-13,03:30,305.7,289.82,2.19,55,0.57,0.69
-5.03489,-43.66422,2023-08-13,03:30,302.52,289.7,1.77,55,0.57,0.69
-5.03398,-43.66936,2023-08-13,03:30,307.8,290.17,2.19,55,0.57,0.69
-5.02756,-43.6683,2023-08-13,03:30,307.99,289.91,1.45,55,0.57,0.69
-5.02664,-43.67351,2023-08-13,03:30,303.07,289.82,1.45,55,0.57,0.69
-4.89298,-43.22305,2023-08-13,03:30,305.14,289.1,1.47,55,0.53,0.67
-4.88674,-43.22192,2023-08-13,03:30,313.36,289.48,1.47,55,0.53,0.67
-4.88586,-43.22689,2023-08-13,03:30,305.95,289.61,1.47,55,0.53,0.67
-4.87608,-43.2458,2023-08-13,03:30,320.79,289.17,2.08,55,0.53,0.67
-4.8751,-43.21492,2023-08-13,03:30,317.28,289.69,2.68,55,0.53,0.67
-4.87421,-43.21994,2023-08-13,03:30,316.25,289.67,3.57,55,0.53,0.67
