Latitud,Longitud,Fecha,Hora,FP_T21,FP_T31,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-21.68867,-41.28025,2023-08-13,00:30,300.43,289.1,12.36,7,2.55,1.54
-21.68134,-41.27435,2023-08-13,00:30,305.79,289.07,26.23,66,2.55,1.54
-21.6862,-41.25595,2023-08-13,00:30,307.91,289.1,29.26,73,2.54,1.53
-21.67905,-41.25001,2023-08-13,00:30,301.0,289.0,15.3,36,2.54,1.53
-20.24324,-40.23844,2023-08-13,00:33,307.54,287.24,21.44,72,2.04,1.39
-17.53589,-39.4517,2023-08-13,00:33,300.71,289.91,9.17,32,1.63,1.26
-20.24529,-40.25774,2023-08-13,00:33,300.76,285.96,10.48,33,2.04,1.39
-4.33318,-47.25575,2023-08-13,00:35,304.26,291.84,41.31,59,4.22,1.9
-4.46254,-47.70883,2023-08-13,00:35,305.39,292.25,48.28,36,4.61,1.97
-4.45713,-47.66841,2023-08-13,00:35,305.18,292.37,46.39,33,4.57,1.96
-3.67303,-41.94035,2023-08-13,00:35,312.28,293.89,17.39,84,1.56,1.23
-4.44631,-47.705,2023-08-13,00:35,304.21,292.32,42.52,57,4.61,1.97
-4.46366,-47.70206,2023-08-13,00:35,312.13,292.37,90.49,84,4.61,1.97
-4.45853,-47.66174,2023-08-13,00:35,303.47,292.44,37.57,34,4.57,1.96
-3.78561,-40.99276,2023-08-13,00:35,304.33,288.77,11.63,34,1.34,1.15
-3.78397,-40.9808,2023-08-13,00:35,319.12,289.26,28.72,98,1.34,1.15
-4.23334,-43.71619,2023-08-13,00:35,303.28,293.25,13.48,54,2.19,1.43
-4.14638,-43.06366,2023-08-13,00:35,314.91,293.14,31.15,90,1.93,1.36
-4.15843,-43.06209,2023-08-13,00:35,314.07,293.64,29.54,88,1.93,1.36
-4.82632,-45.22466,2023-08-13,00:35,321.62,292.58,90.5,100,2.96,1.64
-4.54339,-43.10879,2023-08-13,00:35,335.94,292.97,97.98,100,1.98,1.37
-4.54104,-43.09138,2023-08-13,00:35,314.24,292.53,31.25,89,1.97,1.37
-4.55556,-43.10716,2023-08-13,00:35,327.06,293.47,66.28,100,1.98,1.37
-4.56773,-43.10549,2023-08-13,00:35,306.67,292.62,17.5,69,1.98,1.37
-4.87419,-43.24497,2023-08-13,00:35,313.43,293.45,29.06,87,2.05,1.39
-4.87662,-43.23899,2023-08-13,00:35,307.7,293.43,16.83,28,2.05,1.39
-5.03826,-43.67899,2023-08-13,00:35,309.7,294.84,24.53,63,2.23,1.45
-5.03556,-43.65938,2023-08-13,00:35,312.04,294.56,30.06,84,2.23,1.45
-5.03742,-43.67268,2023-08-13,00:35,315.75,295.4,40.42,92,2.23,1.45
-5.05029,-43.67104,2023-08-13,00:35,304.45,294.35,14.6,43,2.23,1.45
-5.36115,-43.65209,2023-08-13,00:35,303.24,292.17,16.35,54,2.25,1.45
-5.26996,-40.71824,2023-08-13,00:35,306.18,293.22,8.44,67,1.35,1.15
-5.26891,-40.72477,2023-08-13,00:35,303.72,293.11,6.18,57,1.35,1.15
-6.07597,-46.98902,2023-08-13,00:35,305.22,291.82,51.36,63,4.28,1.91
-6.39801,-45.75208,2023-08-13,00:35,311.23,292.14,61.59,82,3.45,1.75
-6.39403,-45.72174,2023-08-13,00:35,307.42,292.66,45.37,71,3.43,1.74
-6.39352,-45.74601,2023-08-13,00:35,316.03,292.32,84.2,92,3.45,1.75
-7.45065,-45.58171,2023-08-13,00:35,305.59,294.43,36.01,65,3.47,1.75
-7.44585,-45.5757,2023-08-13,00:35,304.48,294.39,30.89,60,3.47,1.75
-7.95286,-44.88285,2023-08-13,00:35,303.46,291.4,26.21,55,3.11,1.67
-8.37342,-44.14088,2023-08-13,00:35,309.31,292.73,35.66,77,2.75,1.59
-8.38751,-44.13906,2023-08-13,00:35,304.13,293.48,19.65,43,2.75,1.59
-8.38057,-44.15821,2023-08-13,00:35,305.75,293.53,26.0,65,2.76,1.59
-8.37761,-44.1338,2023-08-13,00:35,309.56,293.06,36.62,78,2.75,1.59
-8.83497,-45.509,2023-08-13,00:35,313.91,291.8,84.71,88,3.6,1.78
-8.8448,-45.50278,2023-08-13,00:35,318.73,291.25,112.44,97,3.6,1.78
-8.50137,-40.24524,2023-08-13,00:35,305.06,292.85,8.56,63,1.39,1.17
-8.50773,-40.23861,2023-08-13,00:35,304.54,292.6,8.12,60,1.39,1.17
-10.61547,-45.37335,2023-08-13,00:35,300.38,290.23,26.98,8,3.73,1.81
-10.61162,-45.34097,2023-08-13,00:35,302.97,292.51,34.87,45,3.71,1.8
-10.62385,-45.36737,2023-08-13,00:35,302.7,290.96,35.88,47,3.73,1.81
-13.01867,-45.32846,2023-08-13,00:35,309.18,288.86,79.36,77,4.0,1.86
-13.02452,-45.32085,2023-08-13,00:35,320.85,289.48,154.54,100,4.0,1.86
-13.03522,-45.32662,2023-08-13,00:35,307.18,288.33,68.25,71,4.0,1.86
-4.05908,-47.66507,2023-08-13,00:35,319.75,292.29,149.56,99,4.5,1.95
-4.06087,-47.65819,2023-08-13,00:35,323.21,292.35,177.71,100,4.5,1.95
-4.0483,-46.53784,2023-08-13,00:35,305.0,291.4,34.14,62,3.66,1.79
-4.04386,-46.50556,2023-08-13,00:35,304.05,291.53,30.35,56,3.64,1.79
-4.05748,-46.53119,2023-08-13,00:35,306.07,291.75,39.74,67,3.66,1.79
-4.32897,-47.2616,2023-08-13,00:35,305.56,291.87,48.42,65,4.22,1.9
-2.30658,-47.98092,2023-08-13,00:37,307.08,291.44,57.85,70,4.47,1.94
-2.62909,-48.07501,2023-08-13,00:37,313.98,291.68,107.82,88,4.61,1.97
-2.63456,-48.1157,2023-08-13,00:37,303.73,291.42,43.86,57,4.64,1.97
-2.62813,-48.08004,2023-08-13,00:37,316.67,291.69,128.98,94,4.61,1.97
-2.30852,-47.97396,2023-08-13,00:37,305.17,291.53,46.53,63,4.47,1.94
